0,1,2,3,4,5,6,7
SURESTE,,7,2024-08-01,4.2,12.02,16,111.73
SURESTE,,8,2024-08-01,23.9532559807053,6.656000000000001,60,17.04
SURESTE,,9,2024-08-01,2.4,21.49,15,89.63
SURESTE,,10,2024-08-01,6.600163098878695,5.015,23,44.685
SURESTE,,11,2024-08-01,24.06116961070142,7.153333333333333,33,22.456666666666667
SURESTE,,12,2024-08-01,32.05857526109035,1.4275,55,7.885
SURESTE,,13,2024-08-01,3.16706082229018,12.965,20,51.29
SURESTE,,14,2024-08-01,22.802991982269734,1.572,92,10.022
SURESTE,,15,2024-08-01,29.698433457890197,1.1275,46,7.569999999999999
SURESTE,,16,2024-08-01,23.005801447102538,1.6640000000000001,87,9.664
SURESTE,,17,2024-08-01,30.724336744671145,1.286,65,6.077999999999999
SURESTE,,18,2024-08-01,27.316264252179746,0.9025,66,5.53
SURESTE,,19,2024-08-01,28.91892640636204,1.568,99,9.834
SURESTE,,20,2024-08-01,32.6621667427156,1.092,69,5.62
SURESTE,,21,2024-08-01,31.563409025582065,1.3399999999999999,44,7.51
SURESTE,,23,2024-08-01,37.92436553470823,1.0550000000000002,20,10.855
SURESTE,Avenida Azteca,0,2024-08-01,38.002724274769434,1.0,2923,2.3239393939393937
SURESTE,Avenida Azteca,1,2024-08-01,39.066635140342186,0.9795454545454546,1648,2.20030303030303
SURESTE,Avenida Azteca,2,2024-08-01,38.01599607649535,1.0511320754716982,795,2.108301886792453
SURESTE,Avenida Azteca,3,2024-08-01,40.61068721855902,0.9532307692307692,1180,2.205538461538462
SURESTE,Avenida Azteca,4,2024-08-01,37.1819409741615,1.0977551020408163,789,3.169387755102041
SURESTE,Avenida Azteca,5,2024-08-01,38.26161695015338,1.0412121212121213,1322,2.2812121212121212
SURESTE,Avenida Azteca,6,2024-08-01,30.049878184634053,1.3050746268656717,4910,4.317313432835821
SURESTE,Avenida Azteca,7,2024-08-01,23.652201513581577,1.9767647058823528,9964,7.9282352941176475
SURESTE,Avenida Azteca,8,2024-08-01,21.473942525871227,2.5336764705882353,10142,9.003970588235294
SURESTE,Avenida Azteca,9,2024-08-01,19.16789458656232,2.7821739130434784,9250,9.60463768115942
SURESTE,Avenida Azteca,10,2024-08-01,20.757309304897937,2.4019117647058827,8506,8.33705882352941
SURESTE,Avenida Azteca,11,2024-08-01,20.732604086058174,2.3575,8252,7.458235294117648
